topic,year,subtopic,question wording,answer 1 text,answer 1 value,answer 2 text,answer 2 value,Description,method
Public opinion on life tenure,2024,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,76%,Not Confident,24%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2024,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,17%,Disapprove,83%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2024,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,14%,Not Confident,86%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2024,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,44%,Disapprove,56%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2023,Maximum age limit," Fusce egestas, odio ornare mollis auctor?",Confident,48%,Not Confident,52%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2023,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,30%,Disapprove,70%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2022,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,17%,Not Confident,83%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2022,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,3%,Disapprove,97%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2022,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,40%,Not Confident,60%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2022,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,25%,Disapprove,75%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2021,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,73%,Not Confident,27%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2021,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,8%,Disapprove,92%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2021,Term limits and maximum age limit," Fusce egestas, odio ornare mollis auctor?",Confident,54%,Not Confident,46%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2020,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,11%,Disapprove,89%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2020,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Confident,87%,Not Confident,13%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on ethics reform,2025,Ethics code with investigatory power," Fusce egestas, odio ornare mollis auctor?",Approve,78%,Disapprove,22%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on ethics reform,2024,Ethics code," Fusce egestas, odio ornare mollis auctor?",Confident,58%,Not Confident,42%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on ethics reform,2024,Ethics code with investigatory power," Fusce egestas, odio ornare mollis auctor?",Approve,62%,Disapprove,38%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on ethics reform,2024,Ethics code," Fusce egestas, odio ornare mollis auctor?",Confident,4%,Not Confident,96%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
